,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,2429.75,6602.73,1816.45,477.91,1282.09,15215.16,2597.36,115839.08,6391.29,6726.72,578.97,7558.34,1589.41,3213.46,3305.23,26096.53
time,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
