,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,862.0,1317.1,609.24,356.62,953.95,3304.96,853.49,30976.67,1767.88,1324.38,400.24,2251.56,567.25,940.25,774.73,6576.56
time,0.12,1.74,0.01,0.0,0.04,2.28,0.13,55.62,6.9,1.21,0.0,0.44,0.07,0.35,9.55,11.7
