,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,826.42,1344.21,548.32,425.44,1210.54,3557.92,819.93,31543.68,1882.8,1460.28,554.58,2310.14,582.46,893.84,822.9,6732.04
time,8.99,20.13,6.87,290.0,290.0,25.58,14.26,69.51,48.16,19.86,290.0,18.47,11.21,16.37,39.21,43.36
