,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,752.83,1960.03,452.48,394.17,1163.31,3878.97,835.41,53394.78,3439.22,1694.74,425.89,2815.76,829.18,901.91,1343.42,11674.47
time,3.05,4.96,1.92,1.39,2.49,6.47,3.45,16.61,8.08,5.59,1.39,4.48,2.44,4.31,9.98,10.9
