,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,730.87,1367.94,506.06,352.92,922.79,3367.39,800.54,27718.65,1764.49,1358.95,358.4,2044.8,550.01,907.4,1146.31,6308.2
time,1.8,9.07,0.82,0.51,1.37,18.82,3.11,290.84,38.22,11.74,0.47,6.31,1.34,5.9,70.7,91.56
