,45_4_1.vrp,121_7_1.vrp,30_4_1.vrp,16_5_1.vrp,41_14_1.vrp,151_15_1.vrp,76_8_2.vrp,386_47_1.vrp,200_16_2.vrp,135_7_1.vrp,21_4_1.vrp,101_11_2.vrp,51_5_1.vrp,101_8_1.vrp,241_22_1.vrp,262_25_1.vrp
distance,730.86,1270.23,538.79,361.01,915.59,3338.7,777.91,32059.67,1687.1,1227.87,388.64,2042.64,566.03,860.32,746.02,6077.78
time,8.47,51.5,4.07,1.19,4.52,95.56,20.2,290.0,159.82,77.19,1.78,37.83,7.61,38.38,290.0,290.0
