screenname,instanceID,yPlot,instance,time,result
carrickfergus,1,0,14_14,0.16,0
carrickfergus,2,0,14_15,0.17,0
carrickfergus,3,3,14_17,0.17,3
carrickfergus,4,12,14_18,0.17,12
carrickfergus,5,0,21_30,0.22,0
carrickfergus,6,-5,21_40,-5,-5
carrickfergus,7,0,21_50,0.26,0
carrickfergus,8,-5,28_27,-5,-5
carrickfergus,9,-5,28_30,-5,-5
carrickfergus,10,-5,28_40,-5,-5
carrickfergus,11,0,28_50,0.30,0
carrickfergus,12,3,28_65,0.37,3
carrickfergus,13,0,7_14,0.14,0
carrickfergus,14,0,7_17,0.13,0
carrickfergus,15,0,7_20,0.15,0
SelfishSeagull,1,7,14_14,0.21,7
SelfishSeagull,2,1545,14_15,0.29,1545
SelfishSeagull,3,9549,14_17,0.76,9549
SelfishSeagull,4,8392,14_18,0.76,8392
SelfishSeagull,5,7713,21_30,1.72,7713
SelfishSeagull,6,27064,21_40,6.71,27064
SelfishSeagull,7,20860,21_50,7.21,20860
SelfishSeagull,8,33810,28_27,5.86,33810
SelfishSeagull,9,21001,28_30,4.62,21001
SelfishSeagull,10,34635,28_40,10.49,34635
SelfishSeagull,11,38787,28_50,14.17,38787
SelfishSeagull,12,39816,28_65,23.23,39816
SelfishSeagull,13,127,7_14,0.19,127
SelfishSeagull,14,6,7_17,0.19,6
SelfishSeagull,15,6554,7_20,0.52,6554
sunlabsucks,1,58,14_14,0.14,58
sunlabsucks,2,0,14_15,0.18,0
sunlabsucks,3,0,14_17,0.30,0
sunlabsucks,4,62,14_18,1.25,62
sunlabsucks,5,0,21_30,0.23,0
sunlabsucks,6,0,21_40,0.22,0
sunlabsucks,7,0,21_50,0.23,0
sunlabsucks,8,0,28_27,4.74,0
sunlabsucks,9,0,28_30,0.22,0
sunlabsucks,10,0,28_40,0.27,0
sunlabsucks,11,8,28_50,0.26,8
sunlabsucks,12,3,28_65,0.31,3
sunlabsucks,13,58,7_14,0.13,58
sunlabsucks,14,2,7_17,0.30,2
sunlabsucks,15,0,7_20,0.28,0
pizza_ball,1,9520,14_14,0.23,9520
pizza_ball,2,0,14_15,0.18,0
pizza_ball,3,0,14_17,0.17,0
pizza_ball,4,1,14_18,0.17,1
pizza_ball,5,0,21_30,0.22,0
pizza_ball,6,49704,21_40,0.74,49704
pizza_ball,7,0,21_50,0.25,0
pizza_ball,8,-5,28_27,-5,-5
pizza_ball,9,0,28_30,0.22,0
pizza_ball,10,0,28_40,0.24,0
pizza_ball,11,0,28_50,0.28,0
pizza_ball,12,0,28_65,0.34,0
pizza_ball,13,9520,7_14,0.22,9520
pizza_ball,14,10,7_17,0.16,10
pizza_ball,15,0,7_20,0.17,0
mingus,1,58,14_14,0.14,58
mingus,2,0,14_15,0.18,0
mingus,3,0,14_17,0.30,0
mingus,4,62,14_18,1.25,62
mingus,5,0,21_30,0.23,0
mingus,6,0,21_40,0.22,0
mingus,7,0,21_50,0.23,0
mingus,8,0,28_27,4.74,0
mingus,9,0,28_30,0.22,0
mingus,10,0,28_40,0.27,0
mingus,11,8,28_50,0.26,8
mingus,12,3,28_65,0.31,3
mingus,13,58,7_14,0.13,58
mingus,14,2,7_17,0.30,2
mingus,15,0,7_20,0.28,0
Zagara,1,0,14_14,0.39,0
Zagara,2,41,14_15,0.14,41
Zagara,3,1,14_17,0.14,1
Zagara,4,-5,14_18,-5,-5
Zagara,5,0,21_30,0.20,0
Zagara,6,1,21_40,0.19,1
Zagara,7,0,21_50,0.20,0
Zagara,8,3,28_27,0.68,3
Zagara,9,0,28_30,0.20,0
Zagara,10,0,28_40,0.22,0
Zagara,11,-5,28_50,-5,-5
Zagara,12,-5,28_65,-5,-5
Zagara,13,0,7_14,0.14,0
Zagara,14,0,7_17,0.14,0
Zagara,15,236,7_20,0.23,236
manta-ray-charles,1,1,14_14,0.13,1
manta-ray-charles,2,25,14_15,0.13,25
manta-ray-charles,3,12,14_17,0.14,12
manta-ray-charles,4,3,14_18,0.14,3
manta-ray-charles,5,0,21_30,0.18,0
manta-ray-charles,6,0,21_40,0.25,0
manta-ray-charles,7,0,21_50,0.23,0
manta-ray-charles,8,0,28_27,0.29,0
manta-ray-charles,9,0,28_30,0.20,0
manta-ray-charles,10,0,28_40,0.22,0
manta-ray-charles,11,0,28_50,0.27,0
manta-ray-charles,12,0,28_65,0.43,0
manta-ray-charles,13,9,7_14,0.12,9
manta-ray-charles,14,30,7_17,0.13,30
manta-ray-charles,15,0,7_20,0.12,0
Alice,1,52603,14_14,1.38,52603
Alice,2,0,14_15,0.23,0
Alice,3,6,14_17,0.25,6
Alice,4,-5,14_18,-5,-5
Alice,5,-5,21_30,-5,-5
Alice,6,1,21_40,0.28,1
Alice,7,-5,21_50,-5,-5
Alice,8,-5,28_27,-5,-5
Alice,9,-5,28_30,-5,-5
Alice,10,1,28_40,0.31,1
Alice,11,12,28_50,0.40,12
Alice,12,-5,28_65,-5,-5
Alice,13,5915,7_14,0.36,5915
Alice,14,-5,7_17,-5,-5
Alice,15,735,7_20,0.26,735
uniform,1,3,14_14,0.16,3
uniform,2,5,14_15,0.14,5
uniform,3,3,14_17,0.15,3
uniform,4,-5,14_18,-5,-5
uniform,5,4,21_30,0.18,4
uniform,6,3,21_40,1.08,3
uniform,7,4,21_50,0.21,4
uniform,8,4,28_27,0.35,4
uniform,9,4,28_30,0.19,4
uniform,10,9,28_40,0.21,9
uniform,11,-5,28_50,-5,-5
uniform,12,-5,28_65,-5,-5
uniform,13,3,7_14,0.19,3
uniform,14,3,7_17,0.12,3
uniform,15,9,7_20,0.17,9
-BruteForce-,1,0,14_14,0.75,0
-BruteForce-,2,2,14_15,0.17,2
-BruteForce-,3,0,14_17,0.16,0
-BruteForce-,4,0,14_18,0.17,0
-BruteForce-,5,0,21_30,0.23,0
-BruteForce-,6,0,21_40,0.25,0
-BruteForce-,7,0,21_50,0.27,0
-BruteForce-,8,12,28_27,0.22,12
-BruteForce-,9,0,28_30,0.23,0
-BruteForce-,10,1,28_40,0.26,1
-BruteForce-,11,0,28_50,0.30,0
-BruteForce-,12,0,28_65,0.33,0
-BruteForce-,13,0,7_14,0.14,0
-BruteForce-,14,177431,7_17,2.16,177431
-BruteForce-,15,0,7_20,0.15,0
b156789f,1,4,14_14,0.24,4
b156789f,2,3718,14_15,0.32,3718
b156789f,3,4481,14_17,0.32,4481
b156789f,4,1205,14_18,0.27,1205
b156789f,5,18,21_30,0.30,18
b156789f,6,496347,21_40,13.77,496347
b156789f,7,14,21_50,0.37,14
b156789f,8,14110,28_27,0.72,14110
b156789f,9,14,28_30,0.34,14
b156789f,10,5,28_40,0.39,5
b156789f,11,37,28_50,0.45,37
b156789f,12,13,28_65,0.56,13
b156789f,13,3,7_14,0.21,3
b156789f,14,578,7_17,0.23,578
b156789f,15,2795,7_20,0.26,2795
poundcake,1,0,14_14,0.21,0
poundcake,2,0,14_15,0.22,0
poundcake,3,0,14_17,0.21,0
poundcake,4,0,14_18,0.22,0
poundcake,5,0,21_30,0.27,0
poundcake,6,2,21_40,0.35,2
poundcake,7,0,21_50,0.35,0
poundcake,8,0,28_27,0.35,0
poundcake,9,0,28_30,0.30,0
poundcake,10,0,28_40,0.35,0
poundcake,11,0,28_50,0.41,0
poundcake,12,0,28_65,0.46,0
poundcake,13,0,7_14,0.18,0
poundcake,14,0,7_17,0.20,0
poundcake,15,0,7_20,0.19,0
pants,1,0,14_14,0.17,0
pants,2,56,14_15,0.18,56
pants,3,0,14_17,0.18,0
pants,4,22,14_18,0.26,22
pants,5,0,21_30,0.26,0
pants,6,5,21_40,0.29,5
pants,7,0,21_50,0.29,0
pants,8,0,28_27,0.52,0
pants,9,0,28_30,0.25,0
pants,10,0,28_40,0.29,0
pants,11,0,28_50,0.34,0
pants,12,0,28_65,0.38,0
pants,13,3,7_14,0.16,3
pants,14,0,7_17,0.16,0
pants,15,0,7_20,0.16,0
