screenname,instanceID,yPlot,instance,time,result
asdf5581,1,2295.719,101_11_2.vrp,14.16,2295.719
asdf5581,2,853.727,101_8_1.vrp,12.91,853.727
asdf5581,3,1355.301,121_7_1.vrp,21.24,1355.301
asdf5581,4,1370.364,135_7_1.vrp,28.79,1370.364
asdf5581,5,3287.261,151_15_1.vrp,44.66,3287.261
asdf5581,6,334.964,16_5_1.vrp,4.47,334.964
asdf5581,7,2889.435,200_16_2.vrp,85.04,2889.435
asdf5581,8,358.402,21_4_1.vrp,17.53,358.402
asdf5581,9,753.862,241_22_1.vrp,181.62,753.862
asdf5581,10,6300.556,262_25_1.vrp,221.50,6300.556
asdf5581,11,506.493,30_4_1.vrp,0.58,506.493
asdf5581,12,33160.093,386_47_1.vrp,295.73,33160.093
asdf5581,13,993.740,41_14_1.vrp,1.36,993.740
asdf5581,14,730.867,45_4_1.vrp,1.55,730.867
asdf5581,15,656.370,51_5_1.vrp,1.92,656.370
asdf5581,16,767.845,76_8_2.vrp,5.58,767.845
Nibble,1,2300.09,101_11_2.vrp,46.4,2300.09
Nibble,2,958.27,101_8_1.vrp,1.46,958.27
Nibble,3,1201.64,121_7_1.vrp,12.19,1201.64
Nibble,4,1327.51,135_7_1.vrp,94.87,1327.51
Nibble,5,3642.23,151_15_1.vrp,70.38,3642.23
Nibble,6,334.96,16_5_1.vrp,6.74,334.96
Nibble,7,1681.56,200_16_2.vrp,69.2,1681.56
Nibble,8,386.57,21_4_1.vrp,11.56,386.57
Nibble,9,847.0,241_22_1.vrp,28.86,847.0
Nibble,10,6502.45,262_25_1.vrp,40.27,6502.45
Nibble,11,564.89,30_4_1.vrp,27.03,564.89
Nibble,12,30502.09,386_47_1.vrp,99.07,30502.09
Nibble,13,1001.82,41_14_1.vrp,94.15,1001.82
Nibble,14,747.08,45_4_1.vrp,11.1,747.08
Nibble,15,675.9,51_5_1.vrp,4.9,675.9
Nibble,16,884.31,76_8_2.vrp,2.43,884.31
weatherpattens,1,2161.528700800273,101_11_2.vrp,8.67,2161.528700800273
weatherpattens,2,855.9474253364464,101_8_1.vrp,9.11,855.9474253364464
weatherpattens,3,1119.2240921825469,121_7_1.vrp,14.24,1119.2240921825469
weatherpattens,4,1310.8098589368974,135_7_1.vrp,19.85,1310.8098589368974
weatherpattens,5,3252.939070032206,151_15_1.vrp,28.73,3252.939070032206
weatherpattens,6,347.1197085532451,16_5_1.vrp,0.34,347.1197085532451
weatherpattens,7,1637.9168528363748,200_16_2.vrp,76.91,1637.9168528363748
weatherpattens,8,393.16155757038337,21_4_1.vrp,0.43,393.16155757038337
weatherpattens,9,740.7880867830958,241_22_1.vrp,102.18,740.7880867830958
weatherpattens,10,5965.678763008712,262_25_1.vrp,153.10,5965.678763008712
weatherpattens,11,546.7056995885391,30_4_1.vrp,0.56,546.7056995885391
weatherpattens,12,-5,386_47_1.vrp,-5,-5
weatherpattens,13,895.0611724961894,41_14_1.vrp,1.34,895.0611724961894
weatherpattens,14,733.2603439996467,45_4_1.vrp,1.08,733.2603439996467
weatherpattens,15,569.74737574098,51_5_1.vrp,1.62,569.74737574098
weatherpattens,16,784.2942162618192,76_8_2.vrp,4.07,784.2942162618192
COLD-terms-PART,1,81647.1,101_11_2.vrp,1.31,81647.1
COLD-terms-PART,2,26130.8,101_8_1.vrp,0.58,26130.8
COLD-terms-PART,3,42965.6,121_7_1.vrp,0.63,42965.6
COLD-terms-PART,4,45529.5,135_7_1.vrp,0.54,45529.5
COLD-terms-PART,5,221182.6,151_15_1.vrp,0.19,221182.6
COLD-terms-PART,6,1741.6,16_5_1.vrp,0.55,1741.6
COLD-terms-PART,7,104549.1,200_16_2.vrp,0.26,104549.1
COLD-terms-PART,8,2089.5,21_4_1.vrp,0.1,2089.5
COLD-terms-PART,9,74012.0,241_22_1.vrp,1.09,74012.0
COLD-terms-PART,10,659470.5,262_25_1.vrp,4.34,659470.5
COLD-terms-PART,11,6107.9,30_4_1.vrp,0.16,6107.9
